,LK Ahrweiler,LK Aichach-Friedberg,LK Alb-Donau-Kreis,LK Altenburger Land,LK Altenkirchen,LK Altmarkkreis Salzwedel,LK Altötting,LK Alzey-Worms,LK Amberg-Sulzbach,LK Ammerland,LK Anhalt-Bitterfeld,LK Ansbach,LK Aschaffenburg,LK Augsburg,LK Aurich,LK Bad Dürkheim,LK Bad Kissingen,LK Bad Kreuznach,LK Bad Tölz-Wolfratshausen,LK Bamberg,LK Barnim,LK Bautzen,LK Bayreuth,LK Berchtesgadener Land,LK Bergstraße,LK Bernkastel-Wittlich,LK Biberach,LK Birkenfeld,LK Bitburg-Prüm,LK Bodenseekreis,LK Borken,LK Breisgau-Hochschwarzwald,LK Burgenlandkreis,LK Böblingen,LK Börde,LK Calw,LK Celle,LK Cham,LK Cloppenburg,LK Coburg,LK Cochem-Zell,LK Coesfeld,LK Cuxhaven,LK Dachau,LK Dahme-Spreewald,LK Darmstadt-Dieburg,LK Deggendorf,LK Diepholz,LK Dillingen a.d.Donau,LK Dingolfing-Landau,LK Dithmarschen,LK Donau-Ries,LK Donnersbergkreis,LK Düren,LK Ebersberg,LK Eichsfeld,LK Eichstätt,LK Elbe-Elster,LK Emmendingen,LK Emsland,LK Ennepe-Ruhr-Kreis,LK Enzkreis,LK Erding,LK Erlangen-Höchstadt,LK Erzgebirgskreis,LK Esslingen,LK Euskirchen,LK Forchheim,LK Freising,LK Freudenstadt,LK Freyung-Grafenau,LK Friesland,LK Fulda,LK Fürstenfeldbruck,LK Fürth,LK Garmisch-Partenkirchen,LK Germersheim,LK Gießen,LK Gifhorn,LK Goslar,LK Gotha,LK Grafschaft Bentheim,LK Greiz,LK Groß-Gerau,LK Göppingen,LK Görlitz,LK Göttingen,LK Günzburg,LK Gütersloh,LK Hameln-Pyrmont,LK Harburg,LK Harz,LK Havelland,LK Haßberge,LK Heidekreis,LK Heidenheim,LK Heilbronn,LK Heinsberg,LK Helmstedt,LK Herford,LK Hersfeld-Rotenburg,LK Herzogtum Lauenburg,LK Hildburghausen,LK Hildesheim,LK Hochsauerlandkreis,LK Hochtaunuskreis,LK Hof,LK Hohenlohekreis,LK Holzminden,LK Höxter,LK Ilm-Kreis,LK Jerichower Land,LK Kaiserslautern,LK Karlsruhe,LK Kassel,LK Kelheim,LK Kitzingen,LK Kleve,LK Konstanz,LK Kronach,LK Kulmbach,LK Kusel,LK Kyffhäuserkreis,LK Lahn-Dill-Kreis,LK Landsberg a.Lech,LK Landshut,LK Leer,LK Leipzig,LK Lichtenfels,LK Limburg-Weilburg,LK Lindau,LK Lippe,LK Ludwigsburg,LK Ludwigslust-Parchim,LK Lörrach,LK Lüchow-Dannenberg,LK Lüneburg,LK Main-Kinzig-Kreis,LK Main-Spessart,LK Main-Tauber-Kreis,LK Main-Taunus-Kreis,LK Mainz-Bingen,LK Mansfeld-Südharz,LK Marburg-Biedenkopf,LK Mayen-Koblenz,LK Mecklenburgische Seenplatte,LK Meißen,LK Merzig-Wadern,LK Mettmann,LK Miesbach,LK Miltenberg,LK Minden-Lübbecke,LK Mittelsachsen,LK Märkisch-Oderland,LK Märkischer Kreis,LK Mühldorf a.Inn,LK München,LK Neckar-Odenwald-Kreis,LK Neu-Ulm,LK Neuburg-Schrobenhausen,LK Neumarkt i.d.OPf.,LK Neunkirchen,LK Neustadt a.d.Aisch-Bad Windsheim,LK Neustadt a.d.Waldnaab,LK Neuwied,LK Nienburg (Weser),LK Nordfriesland,LK Nordhausen,LK Nordsachsen,LK Nordwestmecklenburg,LK Northeim,LK Nürnberger Land,LK Oberallgäu,LK Oberbergischer Kreis,LK Oberhavel,LK Oberspreewald-Lausitz,LK Odenwaldkreis,LK Oder-Spree,LK Offenbach,LK Oldenburg,LK Olpe,LK Ortenaukreis,LK Osnabrück,LK Ostalbkreis,LK Ostallgäu,LK Osterholz,LK Ostholstein,LK Ostprignitz-Ruppin,LK Paderborn,LK Passau,LK Peine,LK Pfaffenhofen a.d.Ilm,LK Pinneberg,LK Plön,LK Potsdam-Mittelmark,LK Prignitz,LK Rastatt,LK Ravensburg,LK Recklinghausen,LK Regen,LK Regensburg,LK Rems-Murr-Kreis,LK Rendsburg-Eckernförde,LK Reutlingen,LK Rhein-Erft-Kreis,LK Rhein-Hunsrück-Kreis,LK Rhein-Kreis Neuss,LK Rhein-Lahn-Kreis,LK Rhein-Neckar-Kreis,LK Rhein-Pfalz-Kreis,LK Rhein-Sieg-Kreis,LK Rheingau-Taunus-Kreis,LK Rheinisch-Bergischer Kreis,LK Rhön-Grabfeld,LK Rosenheim,LK Rostock,LK Rotenburg (Wümme),LK Roth,LK Rottal-Inn,LK Rottweil,LK Saale-Holzland-Kreis,LK Saale-Orla-Kreis,LK Saalekreis,LK Saalfeld-Rudolstadt,LK Saarlouis,LK Saarpfalz-Kreis,LK Salzlandkreis,LK Sankt Wendel,LK Schaumburg,LK Schleswig-Flensburg,LK Schmalkalden-Meiningen,LK Schwalm-Eder-Kreis,LK Schwandorf,LK Schwarzwald-Baar-Kreis,LK Schweinfurt,LK Schwäbisch Hall,LK Segeberg,LK Siegen-Wittgenstein,LK Sigmaringen,LK Soest,LK Sonneberg,LK Spree-Neiße,LK Stade,LK Stadtverband Saarbrücken,LK Starnberg,LK Steinburg,LK Steinfurt,LK Stendal,LK Stormarn,LK Straubing-Bogen,LK Sächsische Schweiz-Osterzgebirge,LK Sömmerda,LK Südliche Weinstraße,LK Südwestpfalz,LK Teltow-Fläming,LK Tirschenreuth,LK Traunstein,LK Trier-Saarburg,LK Tuttlingen,LK Tübingen,LK Uckermark,LK Uelzen,LK Unna,LK Unstrut-Hainich-Kreis,LK Unterallgäu,LK Vechta,LK Verden,LK Viersen,LK Vogelsbergkreis,LK Vogtlandkreis,LK Vorpommern-Greifswald,LK Vorpommern-Rügen,LK Vulkaneifel,LK Waldeck-Frankenberg,LK Waldshut,LK Warendorf,LK Wartburgkreis,LK Weilheim-Schongau,LK Weimarer Land,LK Weißenburg-Gunzenhausen,LK Werra-Meißner-Kreis,LK Wesel,LK Wesermarsch,LK Westerwaldkreis,LK Wetteraukreis,LK Wittenberg,LK Wittmund,LK Wolfenbüttel,LK Wunsiedel i.Fichtelgebirge,LK Würzburg,LK Zollernalbkreis,LK Zwickau,Region Hannover,SK Amberg,SK Ansbach,SK Aschaffenburg,SK Augsburg,SK Baden-Baden,SK Bamberg,SK Bayreuth,SK Berlin Charlottenburg-Wilmersdorf,SK Berlin Friedrichshain-Kreuzberg,SK Berlin Lichtenberg,SK Berlin Marzahn-Hellersdorf,SK Berlin Mitte,SK Berlin Neukölln,SK Berlin Pankow,SK Berlin Reinickendorf,SK Berlin Spandau,SK Berlin Steglitz-Zehlendorf,SK Berlin Tempelhof-Schöneberg,SK Berlin Treptow-Köpenick,SK Bielefeld,SK Bochum,SK Bonn,SK Bottrop,SK Brandenburg a.d.Havel,SK Braunschweig,SK Bremen,SK Bremerhaven,SK Chemnitz,SK Coburg,SK Cottbus,SK Darmstadt,SK Delmenhorst,SK Dessau-Roßlau,SK Dortmund,SK Dresden,SK Duisburg,SK Düsseldorf,SK Emden,SK Erfurt,SK Erlangen,SK Essen,SK Flensburg,SK Frankenthal,SK Frankfurt (Oder),SK Frankfurt am Main,SK Freiburg i.Breisgau,SK Fürth,SK Gelsenkirchen,SK Gera,SK Hagen,SK Halle,SK Hamburg,SK Hamm,SK Heidelberg,SK Heilbronn,SK Herne,SK Hof,SK Ingolstadt,SK Jena,SK Kaiserslautern,SK Karlsruhe,SK Kassel,SK Kaufbeuren,SK Kempten,SK Kiel,SK Koblenz,SK Krefeld,SK Köln,SK Landau i.d.Pfalz,SK Landshut,SK Leipzig,SK Leverkusen,SK Ludwigshafen,SK Lübeck,SK Magdeburg,SK Mainz,SK Mannheim,SK Memmingen,SK Mönchengladbach,SK Mülheim a.d.Ruhr,SK München,SK Münster,SK Neumünster,SK Neustadt a.d.Weinstraße,SK Nürnberg,SK Oberhausen,SK Offenbach,SK Oldenburg,SK Osnabrück,SK Passau,SK Pforzheim,SK Pirmasens,SK Potsdam,SK Regensburg,SK Remscheid,SK Rosenheim,SK Rostock,SK Salzgitter,SK Schwabach,SK Schweinfurt,SK Schwerin,SK Solingen,SK Speyer,SK Straubing,SK Stuttgart,SK Suhl,SK Trier,SK Ulm,SK Weiden i.d.OPf.,SK Weimar,SK Wiesbaden,SK Wilhelmshaven,SK Wolfsburg,SK Worms,SK Wuppertal,SK Würzburg,SK Zweibrücken,StädteRegion Aachen
LK Peine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Pfaffenhofen a.d.Ilm,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Pinneberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Plön,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Potsdam-Mittelmark,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Prignitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Rastatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Ravensburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Recklinghausen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Regen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LK Regensburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
